author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
АСТОРИЯ;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/293541353/;Улан-Удэ;sale;flat;4;5;2;47.2;5150000;Октябрьский;111-й мкр;11;;
ID 115984101;homeowner;https://ulan-ude.cian.ru/sale/flat/301420670/;Улан-Удэ;sale;flat;2;5;2;46.0;7500000;Октябрьский; Жердева;56;;
ID 69152618;homeowner;https://ulan-ude.cian.ru/sale/flat/301007269/;Улан-Удэ;sale;flat;5;7;2;48.7;5150000;Советский; Батожабая;9;;
ID 115320775;homeowner;https://ulan-ude.cian.ru/sale/flat/300711774/;Улан-Удэ;sale;flat;2;5;2;50.0;6800000;Железнодорожный;Комсомольская ;4;;
ID 114295228;homeowner;https://ulan-ude.cian.ru/sale/flat/300435560/;Улан-Удэ;sale;flat;3;3;1;40.7;4950000;Железнодорожный; Алтан-Газар;120;;
ID 91906152;homeowner;https://ulan-ude.cian.ru/sale/flat/294548673/;Улан-Удэ;sale;flat;1;5;2;42.0;5250000;Железнодорожный; Добролюбова;2;;
ID 87307491;homeowner;https://ulan-ude.cian.ru/sale/flat/301308954/;Улан-Удэ;sale;flat;2;5;2;50.3;7140000;Железнодорожный; Гагарина;64А;;
ID 70567576;homeowner;https://ulan-ude.cian.ru/sale/flat/297782001/;Улан-Удэ;sale;flat;2;6;2;48.3;6350000;Октябрьский; Конечная;3;;
Лариса Бибишева;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/301473521/;Улан-Удэ;sale;flat;4;6;2;47.7;5500000;Октябрьский;105-й мкр;29;;
Конус;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/284819330/;Улан-Удэ;sale;flat;2;2;1;33.0;1600000;Октябрьский; Совхозная;50;;
Владис;real_estate_agent;https://ulan-ude.cian.ru/sale/flat/297758310/;Улан-Удэ;sale;flat;5;5;2;45.5;5700000;Октябрьский;Ключевская ;36;;
